#
# Table of Datum aliases. Datum may be geodetic, vertical, temporal, etc.
# Ellipsoid and prime meridian names may appear in this table as well.
# The first line shall contains the authority names. All other lines are
# datum names.
#
# (C) 2005-2008, Open Source Geospatial Foundation (OSGeo)
#

# The authorities for each column
EPSG;OGR;ESRI;Oracle;OGC

# The values for each column.
;;D_Wake_Eniwetok_1960;Wake-Eniwetok 1960
;;;AGD 66 NT
;;;AGD 66 TAS
;;;AGD 66 VIC NSW
;;;AGD 66 ACT
;;;Astro B4 Sorol Atoll
;;;Astro Beacon E
;;;Astro DOS 71/4
;;;Astronomic Station 1952
;;;Belgium Hayford
;;;Cape Canaveral
;;;Easter Island 1967
;;;European 1950 (Denmark)
;;;Geodetic Datum 1949
;;;GUX 1 Astro
;;;Indian (Bangladesh, etc.)
;;;Indian (Thailand/Vietnam)
;;;Ireland 1965
;;;ISTS 073 Astro 1969
;;;Kerguelen Island
;;;L.C. 5 Astro
;;;Lisboa (DLx)
;;;Luzon (Mindanao Island)
;;;Luzon (Philippines)
;;;Marco Astro
;;;Melrica 1973 (D73)
;;;Midway Astro 1961
;;;Ordnance Survey Great Brit
;;;Pitcairn Astro 1967
;;;Sao Braz
;;;Southeast Base
;;;Southwest Base
;;;Tristan Astro 1968
;;;WGS 60
;;;WGS 66
;;;NAD 27 (Alaska)
;;;NAD 27 (Bahamas)
;;;NAD 27 (Canada)
;;;NAD 27 (Canal Zone)
;;;NAD 27 (Caribbean)
;;;NAD 27 (Central America)
;;;NAD 27 (Cuba)
;;;NAD 27 (Greenland)
;;;NAD 27 (Michigan)
;;;NAD 27 (San Salvador)
;;;NAD 83 (Alaska)
;;;NAD 83 (Continental US)
;;;Nahrwan (Masirah Island)
;;;Nahrwan (Saudi Arabia)
;;;Nahrwan (Un. Arab Emirates)
;;;Netherlands Bessel
;;;New AGD 84
;;;NWGL 10
;;;Oman
;;D_NAD_1983_HARN_Adj_MN_Anoka;
;;D_NAD_1983_HARN_Adj_MN_Becker;
;;D_NAD_1983_HARN_Adj_MN_Beltrami_North;
;;D_NAD_1983_HARN_Adj_MN_Beltrami_South;
;;D_NAD_1983_HARN_Adj_MN_Benton;
;;D_NAD_1983_HARN_Adj_MN_Big_Stone;
;;D_NAD_1983_HARN_Adj_MN_Blue_Earth;
;;D_NAD_1983_HARN_Adj_MN_Brown;
;;D_NAD_1983_HARN_Adj_MN_Carlton;
;;D_NAD_1983_HARN_Adj_MN_Carver;
;;D_NAD_1983_HARN_Adj_MN_Cass_North;
;;D_NAD_1983_HARN_Adj_MN_Cass_South;
;;D_NAD_1983_HARN_Adj_MN_Chippewa;
;;D_NAD_1983_HARN_Adj_MN_Chisago;
;;D_NAD_1983_HARN_Adj_MN_Cook_North;
;;D_NAD_1983_HARN_Adj_MN_Cook_South;
;;D_NAD_1983_HARN_Adj_MN_Cottonwood;
;;D_NAD_1983_HARN_Adj_MN_Crow_Wing;
;;D_NAD_1983_HARN_Adj_MN_Dakota;
;;D_NAD_1983_HARN_Adj_MN_Dodge;
;;D_NAD_1983_HARN_Adj_MN_Douglas;
;;D_NAD_1983_HARN_Adj_MN_Faribault;
;;D_NAD_1983_HARN_Adj_MN_Fillmore;
;;D_NAD_1983_HARN_Adj_MN_Freeborn;
;;D_NAD_1983_HARN_Adj_MN_Goodhue;
;;D_NAD_1983_HARN_Adj_MN_Grant;
;;D_NAD_1983_HARN_Adj_MN_Hennepin;
;;D_NAD_1983_HARN_Adj_MN_Houston;
;;D_NAD_1983_HARN_Adj_MN_Isanti;
;;D_NAD_1983_HARN_Adj_MN_Itasca_North;
;;D_NAD_1983_HARN_Adj_MN_Itasca_South;
;;D_NAD_1983_HARN_Adj_MN_Jackson;
;;D_NAD_1983_HARN_Adj_MN_Kanabec;
;;D_NAD_1983_HARN_Adj_MN_Kandiyohi;
;;D_NAD_1983_HARN_Adj_MN_Kittson;
;;D_NAD_1983_HARN_Adj_MN_Koochiching;
;;D_NAD_1983_HARN_Adj_MN_Lac_Qui_Parle;
;;D_NAD_1983_HARN_Adj_MN_Lake_of_the_Woods_North;
;;D_NAD_1983_HARN_Adj_MN_Lake_of_the_Woods_South;
;;D_NAD_1983_HARN_Adj_MN_Le_Sueur;
;;D_NAD_1983_HARN_Adj_MN_Lincoln;
;;D_NAD_1983_HARN_Adj_MN_Lyon;
;;D_NAD_1983_HARN_Adj_MN_Mahnomen;
;;D_NAD_1983_HARN_Adj_MN_Marshall;
;;D_NAD_1983_HARN_Adj_MN_Martin;
;;D_NAD_1983_HARN_Adj_MN_McLeod;
;;D_NAD_1983_HARN_Adj_MN_Meeker;
;;D_NAD_1983_HARN_Adj_MN_Morrison;
;;D_NAD_1983_HARN_Adj_MN_Mower;
;;D_NAD_1983_HARN_Adj_MN_Murray;
;;D_NAD_1983_HARN_Adj_MN_Nicollet;
;;D_NAD_1983_HARN_Adj_MN_Nobles;
;;D_NAD_1983_HARN_Adj_MN_Norman;
;;D_NAD_1983_HARN_Adj_MN_Olmsted;
;;D_NAD_1983_HARN_Adj_MN_Ottertail;
;;D_NAD_1983_HARN_Adj_MN_Pennington;
;;D_NAD_1983_HARN_Adj_MN_Pine;
;;D_NAD_1983_HARN_Adj_MN_Pipestone;
;;D_NAD_1983_HARN_Adj_MN_Polk;
;;D_NAD_1983_HARN_Adj_MN_Pope;
;;D_NAD_1983_HARN_Adj_MN_Ramsey;
;;D_NAD_1983_HARN_Adj_MN_Red_Lake;
;;D_NAD_1983_HARN_Adj_MN_Redwood;
;;D_NAD_1983_HARN_Adj_MN_Renville;
;;D_NAD_1983_HARN_Adj_MN_Rice;
